City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,
ALAPPUZHA,32110601011,2015-16,"PRESIDENCY PUBLIC SCHOOL, THAMARAKKULAM",KAYAMKULAM,GLPS CHATHIYARA,THAMARAKKULAM,Kerala,690571,,,,ChIJT1gcvmMaBjsRsp85TnS9COA,B,Pincode,690571,Presidency School,"Thamarakulam, Itbp - Thamarakulam Rd, Kerala 690571, India",
ALAPPUZHA,32110300419,2015-16,ST.GEORGE PUBLIC SCHOOL,CHENGANNUR,GOVT. LPS MULAKUZHA,MULAKUZHA,Kerala,689521,,,,ChIJ6yxhTx8YBjsRI131jsDTb9o,A,VILLAGE_NAME,mulakuzha,St.George Senior Secondary School,"Kozhuvalloor - Areekkara - Karakkad Rd, Mulakuzha, Kerala 689508, India",
ALAPPUZHA,32110300456,2015-16,ST. GREGORIOS SENIOR SECONDARY SCHOOL MULAKKUZHA,CHENGANNUR,GOVT. LPS MULAKUZHA,MULAKUZHA,Kerala,689505,,,,ChIJYdO0g7YiBjsRqGf1QptZ24c,A,VILLAGE_NAME,mulakuzha,St Gregorios Senior Secondary School,"Gregorios Nagar Mulakuzha, Chengannoor Kidngannoor Road, Chengannur, Kerala 689121, India",
ALAPPUZHA,32110300457,2015-16,PRAGATHY VIDHYA MANDIR,CHENGANNUR,GOVT. LPS MULAKUZHA,MULAKUZHA,Kerala,689505,,,,ChIJ3f7bM_4XBjsRMA9GdGxw-js,A,VILLAGE_NAME,mulakuzha,Pragathi Vidya Mandhir,"Mulakuzha, Kerala 689504, India",
ALAPPUZHA,32110300458,2015-16,"SREE NARAYANA VIDYA PEEDTOM, KOTTA",CHENGANNUR,GOVT. LPS MULAKUZHA,MULAKUZHA,Kerala,689504,,,,,,,,,,
KOTTAYAM,32100200704,2015-16,GUIDANCE PUBLIC SCHOOL,ERATTUPETTA,POONJAR,POONJAR,Kerala,686581,,,,ChIJARAD4PbKBzsRM2AyL6aXdMo,B,Locality,erattupetta,Guidance public School,"Keeriyathottam, Erattupetta, Kerala 686121, India",
KOTTAYAM,32100200801,2015-16,GLPS POONJAR,ERATTUPETTA,POONJAR,POONJAR NADUBHAGAM,Kerala,686581,,,,,,,,,,
KOTTAYAM,32100200802,2015-16,SMVHSS POONJAR,ERATTUPETTA,POONJAR,POONJAR NADUBHAGAM,Kerala,686581,,,,ChIJpdo5CezKBzsRDmWL4S7VpgE,A,Street Address,poonjar,SMV Higher Secondary School,"Poonjar, Panachippara, Poonjar, Kerala 686581, India",
KOTTAYAM,32100200803,2015-16,ST.JOSEPH'S UPS POONJAR,ERATTUPETTA,POONJAR,POONJAR NADUBHAGAM,Kerala,686581,,,,ChIJvRWMuJPKBzsR6g8pxkaMbjU,A,Street Address,poonjar,St.Joseph's UP School,"Ettumanoor - Poonjar Road - SH 32, Poonjar, Kerala 686581, India",
KOTTAYAM,32100300112,2015-16,ST.ALOSIUS HSS ATHIRAMPUZHA,ETTUMANOOR,ATHIRAMPUZHA,ATHIRAMPUZHA,Kerala,686562,,,,ChIJgbv4hNBbVBARD6oNdS0gmOY,A,Street Address,athirampuzha,St.Aloysius H.S. School,"Near St.Mary Church, Church Rd, Athirampuzha, Kottayam, Kerala 686562, India",
KOTTAYAM,32100300113,2015-16,ST.GROGORIOS UPS MANNARKUNNU,ETTUMANOOR,ATHIRAMPUZHA,ATHIRAMPUZHA,Kerala,686562,,,,ChIJy9EL-fLUBzsRPn86y3fckC8,A,Street Address,athirampuzha,St' Gregorious UP School Mannarukunnu,"Athirampuzha-Mannarkunnu Rd, Athirampuzha, Kerala 686602, India",
KOTTAYAM,32100500705,2015-16,SNUPS VELLAVOOR,KARUKACHAL,VELLAVOOR,VELLAVOOR,Kerala,686541,,,,,,,,,,
KOTTAYAM,32100500706,2015-16,SKVNSSUPS MANIMALA,KARUKACHAL,VELLAVOOR,VELLAVOOR,Kerala,686543,,,,,,,,,,
KOTTAYAM,32100600521,2015-16,SREE SANKARA VIDYAPEEDOM,KOTTAYAM(EAST),PUTHUPPALLY,PUTHUPPALLY,Kerala,686011,,,,,,,,,,
KOTTAYAM,32100600522,2015-16,SREE NARAYANA CENTRAL SCHOOL,KOTTAYAM(EAST),PUTHUPPALLY,PUTHUPPALLY,Kerala,686011,,,,ChIJs_z35RcsBjsRIj8YJCp5wIo,A,Street Address,puthuppally,Sree Narayana Public School,"Kottam Kozhenchery, Puthuppally, Kottayam, Kerala 695011, India",
KOTTAYAM,32100600523,2015-16,GEORGIAN PUBLIC SCHOOL ,KOTTAYAM(EAST),PUTHUPPALLY,PUTHUPPALLY,Kerala,686011,,,,ChIJB3dA3R4sBjsR36Ur5G6rSA0,A,Street Address,puthuppally,Georgian Public School,"Manarcadu Thenganal Road, Puthuppally, Kerala 686011, India",
KOTTAYAM,32100400528,2015-16,AL AZHAR ENGLISH MEDIUM ERUMEL,KANJIRAPPALLY,ERUMELY,ERUMELI SOUTH,Kerala,686509,,,,,,,,,,
KOTTAYAM,32100100512,2015-16,ST.JOSEPH EM KURUMPANADOM,CHANGANASSERY,MADAPPALLY,MADAPPALLY,Kerala,686536,,,,,,,,,,
KOTTAYAM,32101000402,2015-16,"GLPS, PARAPPALLY",PALA,MEENACHIL,POOVARANY,Kerala,686578,,,,ChIJSYuMtaYrBjsRopG9uimXaCo,B,Locality,pala,Kottayam Town GLPS,"Palace Rd, Kottayam, Kerala 686001, India",
KOTTAYAM,32101000403,2015-16,GLPS  VILAKKUMADOM,PALA,MEENACHIL,POOVARANY,Kerala,686577,,,,,,,,,,
KOTTAYAM,32101000404,2015-16,"KTTM  LPS,  EDAMATTOM",PALA,MEENACHIL,POOVARANY,Kerala,686578,,,,,,,,,,
KOTTAYAM,32100100109,2015-16,ST MARYS LPS CHANGANASSERY,CHANGANASSERY,CHANGANASSERY,CHANGANASSERY,Kerala,686101,,,,,,,,,,
KOTTAYAM,32100100110,2015-16,GOVT LPS PERUNNA,CHANGANASSERY,CHANGANASSERY,CHANGANASSERY,Kerala,686102,,,,,,,,,,
KOTTAYAM,32100100904,2015-16,ST ELIAS UPS VAKATHANAM,CHANGANASSERY,VAKATHANAM,VAKATHANAM,Kerala,686538,,,,ChIJQ3nOdT4vBjsRXQ4872QzbGw,A,Street Address,vakathanam,St.Elias UP School,"Nalunnakkal, Vakathanam, Nalunnakkal, Kerala 686538, India",
KOTTAYAM,32100400912,2015-16,ST. PAULS L.P.S VANDANPATHAL,KANJIRAPPALLY,MUNDAKAYAM,ERUMELI NORTH,Kerala,686513,,,,ChIJJ7l-miNJBjsRe7q8pvTEB0U,B,Pincode,686513,St Pauls Church Vandanpathal,"Vandanpathal- 35th mile Rd, Kerala 686513, India",
KOTTAYAM,32100200106,2015-16,PMSA PTM LPS KADUVAMOOZHY,ERATTUPETTA,ERATTUPETTA,ERATTUPETTA,Kerala,686121,,,,,,,,,,
KOTTAYAM,32100900704,2015-16,ST JOSEPH  LPS ERAVIMANGALAM,KURAVILANGADU,MANJOOR,MANJOOR,Kerala,686613,,,,,,,,,,
KOTTAYAM,32100900706,2015-16,ST THOMAS LPS KURUPPANTHARA,KURAVILANGADU,MANJOOR,MANJOOR,Kerala,686603,,,,ChIJFTuPWJLWBzsR3-wvwHYJm7U,B,Pincode,686603,St.Thomas Church,"Kuruppanthara Main Rd, Kuruppanthara, Kottayam, Kerala 686603, India",
KOTTAYAM,32100900707,2015-16,ST XAVIOURS LPS KURUPPANTHARA,KURAVILANGADU,MANJOOR,MANJOOR,Kerala,686603,,,,,,,,,,
KOTTAYAM,32100900712,2015-16,"V.K.V.M.N.S.S H.S, MANJOOR",KURAVILANGADU,MANJOOR,MANJOOR,Kerala,686603,,,,,,,,,,
KOTTAYAM,32100400103,2015-16,G.H.S. LPS KANJIRAPPALLY,KANJIRAPPALLY,CHIRAKKADAVU,CHIRAKKADAVU,Kerala,686507,,,,ChIJ2fHs7nc2BjsRE0IjwM4L12g,B,Locality,kanjirappally,S G Traders,"Kokkappally, Kanjirappally, Kerala 686555, India",
KOTTAYAM,32100100224,2015-16,KRISTU JYOTI VIDYANIKETHAN,CHANGANASSERY,VAZHAPPALLY,CHETHIPUZHA,Kerala,686104,,,,ChIJ-8qL4f8lBjsRZx0pj3pCuX0,A,VILLAGE_NAME,chethipuzha,Kristu Jyoti Vidya Niketan,"Vadakkekkara Rd, Chethipuzha Kadavu, Changanassery, Kerala 686104, India",
KOTTAYAM,32100100301,2015-16,GOVT VHSS VAZHAPPALLY,CHANGANASSERY,CHANGANASSERY,VAZHAPPALLY,Kerala,686103,,,,ChIJh_Wq_xcsBjsR4Zn5b-qz5M8,C,City,kottayam,St. George Govt. V.H.S.S,"Near VDIL Store, HS Rd, Puthuppally, Kottayam, Kerala 686011, India",
KOTTAYAM,32100100302,2015-16,ST THERESAS LPS VAZHAPPALLY,CHANGANASSERY,CHANGANASSERY,VAZHAPPALLY,Kerala,686103,,,,ChIJBfeanh0mBjsR5emBh65Vj4s,A,Street Address,changanassery,St.Teresa's Higher Secondary School,"Near Madhumoola Junction, SH 1, Changanassery, Vazhappally, Kottayam, Kerala 686103, India",
ERNAKULAM,32081301205,2015-16,RMMLPS MADAVANA,TRIPPUNITHURA,GLPS MANGAYIL,MARADU,Kerala,682040,,,,,,,,,,
ERNAKULAM,32081301206,2015-16,GJBS KUNDANNUR,TRIPPUNITHURA,GLPS MANGAYIL,MARADU,Kerala,682304,,,,,,,,,,
ERNAKULAM,32080303403,2015-16,ST.PETER'S LPS VADUTHALA,ERNAKULAM,SRV (D) LPS ERNAKULAM,KANAYANNOOR,Kerala,682023,,,,,,,,,,
ERNAKULAM,32081200410,2015-16,KARUNALAYAM BUDS RC KIZHUMURY,PIRAVOM,GLPS RAMAMANGALAM,RAMAMANGALAM,Kerala,686663,,,,,,,,,,
ERNAKULAM,32081200208,2015-16,GHSS PIRAVOM,PIRAVOM,GLPS NAMAKKUZHY,PIRAVOM,Kerala,686664,,,,ChIJnSHCYT_fBzsR50B5jZ7jgAM,C,City,ernakulam,Mammalassery,"Mammalassery686663, Ernakulam, Kerala, India",
ERNAKULAM,32081200209,2015-16,GUPS KALAMPOOR,PIRAVOM,GLPS NAMAKKUZHY,PIRAVOM,Kerala,686664,,,,,,,,,,
ERNAKULAM,32080301305,2015-16,NIJLPS KUMBALAM,ERNAKULAM,GLPS UDAYATHUMVATHUKKAL,KUMBALAM,Kerala,682506,,,,ChIJGbT8jSxyCDsR9KE_URi2vd4,A,VILLAGE_NAME,kumbalam,N.I.J.L.P.School,"XIII / 468, Service Rd, Kumbalam, Kochi, Kerala 682304, Service Rd, Kumbalam, Kochi, Kerala 682304, India",
ERNAKULAM,32080301306,2015-16,GPLPS UDAYATHUMVATHIL,ERNAKULAM,GLPS UDAYATHUMVATHUKKAL,KUMBALAM,Kerala,682506,,,,,,,,,,
ERNAKULAM,32080400401,2015-16,VIMALA MATHA HSS KADALIKKAD,KALLOORKKAD,GLPS NEERAMPUZHA,MANJALLOOR,Kerala,686670,,,,ChIJtR04whLDBzsR22Ow1lq-erE,B,Pincode,686670,Vimala Matha H. S. S,"Kadalikad P. O, Vazhakulam, Muvattupuzha, Kerala 686670, India",
ERNAKULAM,32080101509,2015-16,GHSS MUPPATHADOM,ALUVA,GLPS EAST KADUNGALLOOR,KADUNGALLOOR,Kerala,683110,,,,,,,,,,
ERNAKULAM,32080102503,2015-16,KERALA VARMA SANSKRIT UPS,ALUVA,GLPS SREEMOOLANAGARAM,CHOWARA,Kerala,683580,,,,,,,,,,
ERNAKULAM,32080100524,2015-16,NAIPUNNYA PUBLIC SCHOOL KOCHI,ALUVA,GUPS KAKKANAD,THRIKKAKARA,Kerala,682021,,,,ChIJm2GkqEMMCDsR5QlZep4xff0,A,VILLAGE_NAME,thrikkakara,Naipunnya Public School,"Seaport - Airport Rd, Thrikkakara, Kakkanad, Kochi, Kerala 682021, India",
ERNAKULAM,32080201003,2015-16,BSUPS KALADY,ANGAMALY,GUPS KALADY,KALADY,Kerala,683574,,,,ChIJQ5qZ8ugHCDsR2dsasu4UUq8,A,VILLAGE_NAME,kalady,Kalady Private Bus Station,"SH 1, Chengal, Kalady, Kerala 683574, India",
ERNAKULAM,32081200218,2015-16,KINGDOM PUBLIC SCHOOLPIRAVOM,PIRAVOM,GLPS NAMAKKUZHY,PIRAVOM,Kerala,686664,,,,ChIJi1cPasLYBzsRDCKVBB53ZJk,A,VILLAGE_NAME,piravom,Kingdom Public School,"Piravom Market Rd, Piravom, Kerala 686664, India",
ERNAKULAM,32081200811,2015-16,ST.MICHAEL'SPUBLIC SCHOOL,PIRAVOM,GUPS VELIYANAD,EDAKKATTUVAYAL,Kerala,682319,,,,,,,,,,
ERNAKULAM,32080102501,2015-16,GHSS CHOWARA,ALUVA,GLPS SREEMOOLANAGARAM,CHOWARA,Kerala,683571,,,,ChIJkWyGRcgICDsRRHvbO-PT0vM,A,VILLAGE_NAME,chowara,Chowara School,"Chowara, India",
ERNAKULAM,32080102504,2015-16,ST.JOSEPH'S LPS THEKKUMBHAGAM,ALUVA,GLPS SREEMOOLANAGARAM,CHOWARA,Kerala,683580,,,,,,,,,,
ERNAKULAM,32080102304,2015-16,UNION LPS KANJOOR,ALUVA,GLPS SREEMOOLANAGARAM,VADAKKUMBHAGAM,Kerala,683575,,,,,,,,,,
ERNAKULAM,32081000321,2015-16,INFANT JESUS PUBLIC SCHOOL,N.PARUR,GUPS KIZHAKKEPRAM,N.PARUR MUNICIPALITY,Kerala,683513,,,,ChIJsXd7yngaCDsRL97jclzLD4k,B,Pincode,683513,INFANT JESUS PUBLIC SCHOOL,"Perumpadanna, North Parur, Ernakulam, Kerala 683513, India",
ERNAKULAM,32081000322,2015-16,MARIYA THERESA SCRILLI EMS N. PARUR,N.PARUR,GTMLPS N.PARUR,N.PARUR MUNICIPALITY,Kerala,683513,,,,ChIJVZM4OIAaCDsRVIY5SXxruDU,B,Pincode,683513,Maria Teresa Scrilli EM School,"North Paravoor, North Paravur, Kerala 683513, India",
ERNAKULAM,32081301702,2015-16,M.G PUBLIC SCHOOL AMBADIMALA,TRIPPUNITHURA,GJBS KANAYANNOOR,CHOTTANIKKARA,Kerala,682305,,,,ChIJq6qqqp10CDsR9EGrFHsbJ2I,B,Pincode,682305,Mahatma Gandhi Public School,"Ambadimala, Thiruvankulam, Kerala 682305, India",
ERNAKULAM,32081302101,2015-16,GUPS KEECHERY,TRIPPUNITHURA,GJBS AMBALLOOR,KEECHERY,Kerala,682315,,,,ChIJpdRgua53CDsR9ArXRwdrrpY,B,Pincode,682315,"BSNL Telephone Exchange, Keechery","1428028, Kanjiramattom Thalayolaparambu Rd, Kanjiramattom, Kulayettikara, Kerala 682315, India",
ERNAKULAM,32081302102,2015-16,HOLY FAMILY EMLP SCHOOL KEECHERY,TRIPPUNITHURA,GJBS AMBALLOOR,KEECHERY,Kerala,682315,,,,ChIJHWuQrpYGCDsRU8DxOk6DeOI,C,City,ernakulam,Holy Family Girls High School,"Angamaly, Ernakulam, Kerala 680576, India",
ERNAKULAM,32081300101,2015-16,SANSKRIT UPS THOTTARA,TRIPPUNITHURA,GJBS AMBALLOOR,AMBALLOOR,Kerala,682315,,,,ChIJSXxM36h3CDsR1kJb73770EE,B,Pincode,682315,Sanskrit UPS,"Thottara, Keecheri, Kerala 682315, India",
ERNAKULAM,32081100409,2015-16,GGLPS PERUMBAVOOR,PERUMBAVOOR,GBLPS PERUMBAVOOR,PERUMBAVOOR,Kerala,683542,,,,,,,,,,
ERNAKULAM,32081100410,2015-16,GLPS KANJIRAKKAD,PERUMBAVOOR,GBLPS PERUMBAVOOR,PERUMBAVOOR,Kerala,683543,,,,,,,,,,
ERNAKULAM,32081100411,2015-16,MECA UPS PERUMBAVOOR,PERUMBAVOOR,GBLPS PERUMBAVOOR,PERUMBAVOOR,Kerala,683542,,,,,,,,,,
ERNAKULAM,32081100412,2015-16,GGHSS PERUMBAVOOR,PERUMBAVOOR,GBLPS PERUMBAVOOR,PERUMBAVOOR,Kerala,683542,,,,,,,,,,
ERNAKULAM,32080700723,2015-16,ST.MARY'S PUBLIC SCHOOL,KOTHAMANGALAM,GUPS KOTHAMANGALAM,KOTHAMANGALAM,Kerala,686691,,,,ChIJp3Nojk7mBzsRkb7ciVhg9RM,B,Pincode,686691,St.Mary's Public School,"Karukadam, Kerala 686691, India",
ERNAKULAM,32080104301,2015-16,GLPS HMT COLONY,ALUVA,GLPS THRIKKAKKARA,THRIKKAKARA NORTH,Kerala,683503,,,,ChIJq7xbt5UPCDsR94sWtrb-cLA,B,Locality,aluva,GLP SCHOOL,"1, Aluva - Paravoor Rd, Karumalloor, Kerala 683511, India",
ERNAKULAM,32080102505,2015-16,VIJNANAPEEDOM EMHS EDANAD,ALUVA,GLPS SREEMOOLANAGARAM,CHOWARA,Kerala,683580,,,,,,,,,,
ERNAKULAM,32080102305,2015-16,LITTLE FLOWER EMLPS KANJOOR,ALUVA,GLPS SREEMOOLANAGARAM,VADAKKUMBHAGAM,Kerala,683575,,,,ChIJ44gc93EICDsRX3DtuPtWHqA,B,Pincode,683575,Little Flower English Medium School,"Kanjoor - Parappuram Rd, Kanjoor, Kerala 683575, India",
ERNAKULAM,32080102506,2015-16,ST.AUGUSTINE'S LPS EDANAD,ALUVA,GLPS SREEMOOLANAGARAM,CHOWARA,Kerala,683571,,,,,,,,,,
IDUKKI,32090200304,2015-16,GLPS VAZHATHOPPU,ARAKULAM,GLPS VAZHATHOPE,IDUKKI,Kerala,685602,,,,,,,,,,
IDUKKI,32090200305,2015-16,SJ LPS MULAKUVALLY,ARAKULAM,GLPS VAZHATHOPE,IDUKKI,Kerala,685602,,,,,,,,,,
IDUKKI,32090200306,2015-16,SM LPS IDUKKI,ARAKULAM,GLPS VAZHATHOPE,IDUKKI,Kerala,685602,,,,,,,,,,
IDUKKI,32090200307,2015-16,SG UPS VAZHATHOPPE,ARAKULAM,GLPS VAZHATHOPE,IDUKKI,Kerala,685602,,,,,,,,,,
IDUKKI,32090501102,2015-16,MGM UPS THOTTIKKANAM,NEDUMKANDAM,GHS SANTHANPARA,SANTHANPARA,Kerala,685619,,,,,,,,,,
IDUKKI,32090501103,2015-16,GLPS PANNIYAR,NEDUMKANDAM,GHS SANTHANPARA,SANTHANPARA,Kerala,685621,,,,,,,,,,
IDUKKI,32090501105,2015-16,LPS PUTHADY,NEDUMKANDAM,GHS SANTHANPARA,SANTHANPARA,Kerala,685619,,,,,,,,,,
IDUKKI,32090501106,2015-16,SDA SANTHNPARA,NEDUMKANDAM,GHS SANTHANPARA,SANTHANPARA,Kerala,685619,,,,ChIJAQAAAF0KBzsR4e5mobjuMpo,A,VILLAGE_NAME,santhanpara,SEVENTH DAY ADVENTIST (SDA) Church & School,"Santhanpara, Kerala 685619, India",
IDUKKI,32090501205,2015-16,GHS UDUMBANCHOLA,NEDUMKANDAM,GHS PARATHODU,UDUMBANCHOLA,Kerala,685554,,,,,,,,,,
IDUKKI,32090501301,2015-16,SA GHS VANDANMEDU,NEDUMKANDAM,GTLPS PULIYANMALA,VANDANMEDU,Kerala,685551,,,,,,,,,,
IDUKKI,32090501302,2015-16,GTS PULIYANMALA,NEDUMKANDAM,GTLPS PULIYANMALA,VANDANMEDU,Kerala,685515,,,,,,,,,,
THRISSUR,32070800404,2015-16,ST JOSEPHS HS VELUPADAM,KODAKARA,GHS KANNATTUPADAM,KALLUR,Kerala,680303,,,,ChIJP2ePBvP7pzsR6AMRNNahuSg,B,Pincode,680303,St.Joseph's High School," -  , Velupadam, Kerala 680303, India",
THRISSUR,32070800405,2015-16,ST RAPHEL UPS KALLUR,KODAKARA,GLPS THRIKKUR,KALLUR,Kerala,680317,,,,ChIJe8K6XIr6pzsR9b9ui-kQYjc,A,VILLAGE_NAME,kallur,"St.Raphael Church, Kallur East","Amballoor Kallayi Road, Kallur, Kerala 680302, India",
THRISSUR,32070800406,2015-16,VLPS KALLUR,KODAKARA,GLPS THRIKKUR,KALLUR,Kerala,680317,,,,ChIJjaTZLGP6pzsRHLow3lZeDR0,A,VILLAGE_NAME,kallur,VLP SCHOOL KALLUR,"Amballoor Kallayi Road, Kallur, Kerala 680302, India",
THRISSUR,32070800408,2015-16,HF CONVENT N&LPS KALLUR,KODAKARA,GLPS THRIKKUR,KALLUR,Kerala,680317,,,,,,,,,,
THRISSUR,32070800409,2015-16,ST RAPHEL'S PUBLIC SCHOOL KALLUR ,KODAKARA,GLPS THRIKKUR,KALLUR,Kerala,680317,,,,ChIJ27yMYor6pzsRsCiH7640FTQ,A,VILLAGE_NAME,kallur,St.Raphael's Public School,"Kallur, Kerala, India",
THRISSUR,32070202206,2015-16,JYOTHI ENGLISH MEDIUM SCHOOL,CHALAKUDY,MSUPS KORATTY,KORATTY,Kerala,680308,,,,ChIJY0VPr2IBCDsRo3qZZkl4wGI,B,Pincode,680308,Jyothi English Medium School,"Thrissur, Kerala 680308, India",
THRISSUR,32070202301,2015-16,MAMHS KORATTY,CHALAKUDY,PANCHAYATH LPS KORATTY,KORATTY-12,Kerala,680308,,,,,,,,,,
THRISSUR,32070202401,2015-16,CHURCH LPS  KORATTY,CHALAKUDY,PANCHAYATH LPS KORATTY,KORATTY-14,Kerala,680308,,,,,,,,,,
