City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
NORTH GOA,30010600410,2015-16,KENDRIYA VIDYALAYA PONDA,PONDA,CURTI - KHANDEPAR,CURTI,Goa,403401,,,,ChIJx-xVGMO6vzsRwSDiqLcwls4,A,VILLAGE_NAME,curti,KENDRIYA VIDYALAYA PONDA,"Curti, Ponda, Goa 403401, India"
NORTH GOA,30010600513,2015-16,G.V.M.'S PRIMARY-MARATHIMEDIUM,PONDA,G.P.S.SADAR PONDA,PONDA,Goa,403401,,,,ChIJ0bVnNrm6vzsRsj0HYqH7jWU,A,VILLAGE_NAME,ponda,G V M's K.G. & Primary School,"Old Bus Stand, Khadpabandh Road, Opp. Heritage Princess Building, Ponda, Goa 403401, India"
NORTH GOA,30010409601,2015-16,G.P.S. SAWANTWADA PAL,SATTARI,G.H.S. THANE,PAL,Goa,403506,,,,ChIJNcizjSDuvzsRGuXdorPKfpk,A,VILLAGE_NAME,pal,Kiranpani Eco Farm (Abode in Nature's Palm),"Kiranpani Eco Farm, Kiranpani, Near Bridge, Paliyem, Arambol, Goa 403524, India"
NORTH GOA,30010500809,2015-16,JADEED URDU PRIMARY SCHOOL (KON),TISWADI, ,CHIMBEL,Goa,403006,,,,,,,,,
NORTH GOA,30010500811,2015-16,JADEED HIGHER SECONDARY SCHOOL,TISWADI, ,CHIMBEL,Goa,403006,,,,,,,,,
NORTH GOA,30010103001,2015-16,G.P.S. CHOPDE,PERNEM,PARSE/TUEM/AGARWADA,CHOPDE,Goa,403512,,,,,,,,,
NORTH GOA,30010103101,2015-16,G.P.S. CHANDEL,PERNEM,CHANDEL/HASSAPUR,CHANDEL,Goa,403512,,,,,,,,,
NORTH GOA,30010103102,2015-16,G.H.S. CHANDEL,PERNEM,CHANDEL/HASSAPUR,CHANDEL,Goa,403512,,,,,,,,,
NORTH GOA,30010103301,2015-16,"G.P.S. MADKAI, OZARI",PERNEM,KASSARVARNE/OZARI,OZARI,Goa,403513,,,,,,,,,
NORTH GOA,30010201909,2015-16,ST RITA'S PRY SCHOOL,BARDEZ,G.P.S. TANK REVODA,COLVALE,Goa,403513,,,,ChIJVVVVVajsvzsRobuWsBGX9fo,A,VILLAGE_NAME,colvale,St. Ritas High School,"Shop No. 479, Colvale, Goa 403517, India"
SOUTH GOA,30020100318,2015-16,GRACE CHILDREN PRIMARY SCHOOL,SALCETE,G.H.S. AQUEM VIDYANAGAR,MARGAO,Goa,403601,,,,ChIJp6hDwemzvzsR5EVyyOzbeHM,A,VILLAGE_NAME,margao,Grace Children Primary School,"Antonette Mansion, H No-113, Margao, Grace Church, Margao, Goa, 403601, India"
NORTH GOA,30010200811,2015-16,GPS ALTO BETIM,BARDEZ,G.H.S. ALTO BETIM,PENHA DE FRANCE,Goa,403521,,,,,,,,,
NORTH GOA,30010200813,2015-16,GHS ALTO BETIM,BARDEZ,G.H.S. ALTO BETIM,PENHA DE FRANCE,Goa,403521,,,,ChIJ_VstK_e_vzsRHnjyTZLcq4M,B,Locality,bardez,Palm Street By GHD Group,"IT Park Rd, Donwaddo, Donwaddo, Salvador Do Mundo, Bardez, Goa 403101, India"
NORTH GOA,30010301510,2015-16,SHRI SHANTADURGA HR. SECONDARY SCH.,BICHOLIM,BICHOLIM,BICHOLIM,Goa,403504,,,,ChIJ-f___4uWvzsRa7AV_kZm_sc,A,Street Address,bicholim,Shri Shantadurga High School,"Bordem, Bicholim, Goa 403504, India"
NORTH GOA,30010301511,2015-16,SANE GURUJI PRIMARY SCHOOL,BICHOLIM,BICHOLIM,BICHOLIM,Goa,403504,,,,,,,,,
NORTH GOA,30010301512,2015-16,FAIRYLAND PRIMARY SCHOOL,BICHOLIM,BICHOLIM,BICHOLIM,Goa,403504,,,,,,,,,
NORTH GOA,30010300601,2015-16,SHRI NAVDURGA HS,BICHOLIM,PALE,AMBEGAL,Goa,403105,,,,ChIJgziGjJ6kvzsRh80YBEg7gHc,A,Street Address,pale,Navdurga High School,"Navdurga Highschool, Ambegal Pale, Pale, Goa 403105, India"
NORTH GOA,30010200201,2015-16,JANATA HS MAPUSA,BARDEZ,G.P.M.S. KHORLIM MAPUSA,MAPUSA,Goa,403507,,,,ChIJ2ffh-uLqvzsRTq3vWS_oLI0,A,VILLAGE_NAME,mapusa,Janata High School,"Rua do Pinto Cordeiro, Near Alankar Theatre, Mapusa, Goa, 403507, India"
NORTH GOA,30010300701,2015-16,GPMS ADVALPAL,BICHOLIM,MULGAO,ADVALPAL,Goa,403503,,,,,,,,,
NORTH GOA,30010300802,2015-16,GPMS LADFE,BICHOLIM,MULGAO,LADFE,Goa,403503,,,,,,,,,
NORTH GOA,30010300901,2015-16,GHS MENKUREM,BICHOLIM,SAL,MENKUREM,Goa,403513,,,,,,,,,
NORTH GOA,30010203401,2015-16,DAYANAND BANDODKAR MEMORIAL HS,BARDEZ,G.P.S. SALPE CANDOLIM,VEREM,Goa,403114,,,,ChIJt6X_D1nAvzsRd0CQkoqGmPQ,A,VILLAGE_NAME,verem,Dayanand Bandodkar Memorial High School,"Bardez, Reis Magos Verem, Reis Magos Verem, Goa, 403114, India"
NORTH GOA,30010203402,2015-16,PRAGATI HS VEREM,BARDEZ,G.P.S. SALPE CANDOLIM,VEREM,Goa,403114,,,,ChIJt6X_D1nAvzsRgRI9Bwxx9GI,A,VILLAGE_NAME,verem,Pragati High School,"BetimVeremSaligao Rd, Mapusa, Alto- Betim Porvorim, Verem, Goa 403507, India"
NORTH GOA,30010203403,2015-16,GPMS REIS MAGOS VEREM,BARDEZ,G.P.S. SALPE CANDOLIM,VEREM,Goa,403114,,,,ChIJYeGT3PDAvzsRS8Ckp0KjgGs,A,VILLAGE_NAME,verem,Reis Magos Fort,"Verem, Bardez, Goa 403114, India"
NORTH GOA,30010203405,2015-16,VISHWANATH M PARULEKAR HIGHER SECON,BARDEZ,G.P.S. NERUL,VEREM,Goa,403114,,,,ChIJQ3DF71jAvzsREMkovc843Ak,A,VILLAGE_NAME,verem,VISHWANATH MAHADEO PARULEKAR HIGHER SECONDARY SCHOOL,"Verem, Goa 403109, India"
NORTH GOA,30010200208,2015-16,"ST ANTHONYS HS, DHULER",BARDEZ,G.P.M.S. MAPUSA,MAPUSA,Goa,403526,,,,,,,,,
NORTH GOA,30010301504,2015-16,SHANTADURGA PRY SCHOOL,BICHOLIM,BICHOLIM,BICHOLIM,Goa,403504,,,,ChIJ-f___4uWvzsRa7AV_kZm_sc,A,Street Address,bicholim,Shri Shantadurga High School,"Bordem, Bicholim, Goa 403504, India"
SOUTH GOA,30020200912,2015-16,"DEEPVIHAR PRIMARY SCHOOL,SADA",MORMUGAO,G.P.S. BOGDA,SADA,Goa,403804,,,,ChIJC2FYoVXGvzsRhXjqNmQUX9U,B,Pincode,403804,Deepvihar Primary School,"South Goa, Goa 403804, India"
NORTH GOA,30010102001,2015-16,G.P.M.S. MOPA,PERNEM,TORSE/POROSCODE/VARKHAND,MOPA GAONTHANWADA,Goa,403512,,,,,,,,,
SOUTH GOA,30020501809,2015-16,G.P.S TALPAN,CANACONA,CRC  AMONEM,POINGUINIM,Goa,403702,,,,,,,,,
SOUTH GOA,30020501810,2015-16,G.P.S TIRWAL,CANACONA,CRC YEDA KHOTIGAO,POINGUINIM,Goa,403702,,,,,,,,,
SOUTH GOA,30020501811,2015-16,G.P.S WELWADA,CANACONA,CRC  AMONEM,POINGUINIM,Goa,403702,,,,,,,,,
SOUTH GOA,30020103616,2015-16,MARIA BAMBINA CONVENT HIGH SCHOOL,SALCETE,G.P.S BARADI,CUNCOLIM,Goa,403703,,,,ChIJcytKViFNvjsRyQBmhmsDibk,A,VILLAGE_NAME,cuncolim,Maria Bambina Convent High School,"Assolna - Cuncolim Road, Salcete, Cuncolim, Goa 403703, India"
