City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,
PULWAMA,1050706201,2015-16,BMS PRICHOO,PULWAMA,PRICHOO,WARD NO1,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050303402,2015-16,PS PINGALGAM (SSA),KAKAPORA,LERVE,PINGALGAM,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050303553,2015-16,PS DAR MOHALLA QAZIGUND,KAKAPORA,LERVE,QAZIGUND,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050302254,2015-16,PS BUNPORA GORIPORA,KAKAPORA,LELHAR,GORIPORA,Jammu and Kashmir,192122,,,,,,,,,,
PULWAMA,1050304902,2015-16,PS UKHOO (SSA),KAKAPORA,SATHER GUND,UKHOO,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1051101407,2015-16,PS NOGDI,TRAL,KARAMULLA,KARAMULLA,Jammu and Kashmir,192142,,,,,,,,,,
PULWAMA,1051100302,2015-16,GPS LARIYAR,TRAL,AMIRABAD,LARIYAR,Jammu and Kashmir,192123,,,,,,,,,,
PULWAMA,1051101621,2015-16,HS MANDOORA,TRAL,TRAL-BALA,MANDOORA,Jammu and Kashmir,192142,,,,ChIJhXlckR8Y4jgRpZdUfbF1ua0,A,VILLAGE_NAME,mandoora,Govt. High School Mandoora,"Jammu And Kashmir,, Mandoora Trail Rd, Tral, 192123",
PULWAMA,1050703254,2015-16,GOVT GPS SHEIKHPORA,PULWAMA,MURAN,MURRAN,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050703751,2015-16,ALNAD PUBLIC E.MEDIUM,PULWAMA,PUCHAL,PUCHAL,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050305254,2015-16,C.C.I.E. NEWA,KAKAPORA,ZADOORA,NEWA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050303651,2015-16,M.F.M SINGOO NARBAL,KAKAPORA,LERVE,SINGOO NARBAL,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050302951,2015-16,FAROOQ-I-AZAM SCHOOL KISRIGAM,KAKAPORA,LERVE,KASRIGAM,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050303351,2015-16,S.I.E. NAMAN,KAKAPORA,LERVE,NAMAN,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050303151,2015-16,ISLAMIC PUB SCHOOL LERVE,KAKAPORA,LERVE,LERVE,Jammu and Kashmir,192304,,,,ChIJ22WZP1z04TgRC6ivNhIU48w,C,City,pulwama,Dolphin International School,"Pulwama, Jammu and Kashmir 192301",
PULWAMA,1050706202,2015-16,GPS PRICHOO,PULWAMA,PRICHOO,WARD NO1,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050706001,2015-16,BPS SIRNOO,PULWAMA,PRICHOO,WARD NO6,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050706002,2015-16,GPS SIRNOO,PULWAMA,PRICHOO,WARD NO6,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050701001,2015-16,GOVT BPS DARNADI,PULWAMA,KOIL,DARNADI,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050703526,2015-16,ISLAMIC MODEL INSTT PATHEN,PULWAMA,TALANGAM,PATHAN,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050305652,2015-16,PS CHANMOHALLA  ZADOORA,KAKAPORA,ZADOORA,ZADOORA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050304852,2015-16,PS SATHERGUND (SSA),KAKAPORA,SATHER GUND,SATHERGUND,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050301855,2015-16,PS ZAMINDAR MOHALLA RATNIPORA,KAKAPORA,PAHOO,RATNIPORA,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050304753,2015-16,PS HERA NEHAMA,KAKAPORA,SATHER GUND,NEHAMA,Jammu and Kashmir,192121,,,,,,,,,,
PULWAMA,1050304754,2015-16,KGBV NEHAMA,KAKAPORA,SATHER GUND,NEHAMA,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050705801,2015-16,BMS WASHBUGH,PULWAMA,PRICHOO,WARD NO11,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050707151,2015-16,RADIANT PUBLIC SCHOOL,PULWAMA,PRICHOO,WARD NO 4,Jammu and Kashmir,192301,,,,ChIJjcli5mT04TgRjmxHrH50xuM,B,Locality,pulwama,Radiant High School,"Pulwama, Jammu and Kashmir 192301",
PULWAMA,1050707251,2015-16,AL-SHAMAS ENG. MEDIUM,PULWAMA,PRICHOO,WARD NO2,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050706552,2015-16,LYCEUM INTERNATIONAL SCHOOL PULWAMA,PULWAMA,PRICHOO,WARD NO12,Jammu and Kashmir,192301,,,,ChIJAQAAMHXx4TgRzjsSyJxLMlo,B,Pincode,192301,Lyceum International School,"Exchange Road, Dangerpora, Jammu and Kashmir 192301",
PULWAMA,1050805401,2015-16,PS SONACHAKU,SHADIMERG,GULSHANABAD,SONACHAKU,Jammu and Kashmir,192306,,,,,,,,,,
PULWAMA,1050803401,2015-16,UPS KACHIPORA,SHADIMERG,GULSHANABAD,KACHIPORA,Jammu and Kashmir,192306,,,,ChIJQamxnFH24TgR_EganFpdRvk,C,City,pulwama,Govt UPS Karewa Tantraypora (Lassipora),"Pulwama, Jammu and Kashmir 192305",
SHOPIAN,1150203704,2015-16,AHMAD EDUCATIONAL INSTITUTE ,IMAMSAHAIB,MELHURA,D.K.PORA,Jammu and Kashmir,192305,,,,,,,,,,
SHOPIAN,1150203801,2015-16,GOVERNMENT UPPER PRIMARY SCHOOL DURPORA,IMAMSAHAIB,ZANAPORA,DURPORA,Jammu and Kashmir,192124,,,,,,,,,,
PULWAMA,1050702751,2015-16,A.E.M. SCHOOL,PULWAMA,TALANGAM,MANDINA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050701702,2015-16,GOVT  GPS JANDWAL,PULWAMA,BONORA,JANDWAL,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050701801,2015-16,GOVT BPS KANGAN,PULWAMA,MURAN,KANGAN,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050701802,2015-16,UPS KANGAN,PULWAMA,MURAN,KANGAN,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050304551,2015-16,GREEN HOUSE PUBLIC SCHOOL KHADERMOH,KAKAPORA,SATHER GUND,KHADERMOH,Jammu and Kashmir,192121,,,,ChIJMcsXWAaL4TgRReA-6GbmJUs,C,City,pulwama,Green House Public School,"Pulwama, Jammu and Kashmir 191112",
