City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,,
WOKHA,13050306302,2015-16,DON BOSCO SCHOOL KHUMCHOYAN,BHANDARI,DUMMY,KHUMCHOYAN VILLAGE,Nagaland,797111,,,,ChIJB_kEAjxPRjcRrVKxNiYt2mA,B,Pincode,797111,Don Bosco Higher Secondary School,"Kohima-Mokokchung Rd, Wokha, Nagaland 797111, India",,
WOKHA,13050100206,2015-16,GHSS CHUKITONG,WOKHA,CLU_CHUKI,CHUKITONG,Nagaland,798631,,,,,,,,,,,
WOKHA,13050100207,2015-16,PREETY PETALS SCHOOL CHUKITONG,WOKHA,CLU_WOKHA,CHUKITONG,Nagaland,797111,,,,,,,,,,,
WOKHA,13050100208,2015-16,EMERALD SCHOOL CHUKITONG,WOKHA,CLU_CHUKI,CHUKITONG,Nagaland,797111,,,,ChIJ____zxVPRjcRY-pOQXp6a1c,B,Locality,wokha,Don Bosco Higher Secondary School,"Orchid Colony, Wokha, Nagaland, India",,
MON,13010100905,2015-16,"BAPTIST MISSION SCHOOL, MONYAKSHU",TOBU,DUMMY,MONYAKSHU,Nagaland,798624,,,,,,,,,,,
MON,13010401605,2015-16,GMS SOWA,ABOI,DUMMY,SOWA,Nagaland,798603,,,,,,,,,,,
MON,13010401606,2015-16,GPS SOWA - B,ABOI,DUMMY,SOWA,Nagaland,798603,,,,,,,,,,,
MON,13010401702,2015-16,GPS CHANGLANG - B,ABOI,DUMMY,CHANGLANG,Nagaland,798603,,,,,,,,,,,
MON,13010401703,2015-16,GMS CHANGLANG,ABOI,DUMMY,CHANGLANG,Nagaland,798603,,,,,,,,,,,
PHEK,13080401005,2015-16,GPS RUZAZHO NEW,CHOZUBA,DUMMY,RUZAZHO,Nagaland,797107,,,,ChIJySgr3kgtRjcRwaaB4IaF4tA,C,City,phek,New ruzazho,"Phek, Nagaland, India",,
PHEK,13080401101,2015-16,GMS YORUBA 'A',CHOZUBA,DUMMY,YORUBA,Nagaland,797104,,,,,,,,,,,
PHEK,13080201403,2015-16,GPS PHUSACHODU (SECTOR),PFUTSERO,DUMMY,PHUSACHODU,Nagaland,797107,,,,,,,,,,,
PHEK,13080202603,2015-16,PEACE CENTRE SCHOOL SAKRABA TOWN,PFUTSERO,DUMMY,SAKRABA TOWN,Nagaland,797107,,,,,,,,,,,
TUENSANG,13020100303,2015-16,GPS U/KHEL TUENSANG VILL.,HAKUSHANG,HAKCHANG,TUENSANG VILL,Nagaland,798612,,,,,,,,,,,
MON,13010800203,2015-16,GPS CHINGDANG - B,WAKCHING,DUMMY,CHINGDANG,Nagaland,798622,,,,,,,,,,,
MON,13010800302,2015-16,GMS CHINGPHOI,WAKCHING,DUMMY,CHINGPHOI,Nagaland,798621,,,,,,,,,,,
